ABM                                                                                                                             ,INDEX                  ,         9
CMI                                                                                                                             ,VIEW                   ,       103
CN                                                                                                                              ,INDEX                  ,       522
CN                                                                                                                              ,LOB                    ,        34
CN                                                                                                                              ,PACKAGE                ,         2
CN                                                                                                                              ,PACKAGE BODY           ,         2
CN                                                                                                                              ,SEQUENCE               ,       170
CN                                                                                                                              ,TABLE                  ,       230
CN                                                                                                                              ,VIEW                   ,       217
CN2                                                                                                                             ,INDEX                  ,       162
CN2                                                                                                                             ,SEQUENCE               ,        57
CN2                                                                                                                             ,TABLE                  ,        63
CN3                                                                                                                             ,INDEX                  ,       162
CN3                                                                                                                             ,SEQUENCE               ,        57
CN3                                                                                                                             ,TABLE                  ,        63
CN4                                                                                                                             ,INDEX                  ,       162
CN4                                                                                                                             ,SEQUENCE               ,        57
CN4                                                                                                                             ,TABLE                  ,        63
CN5                                                                                                                             ,INDEX                  ,       162
CN5                                                                                                                             ,SEQUENCE               ,        57
CN5                                                                                                                             ,TABLE                  ,        63
CN6                                                                                                                             ,INDEX                  ,       162
CN6                                                                                                                             ,SEQUENCE               ,        57
CN6                                                                                                                             ,TABLE                  ,        63
COST                                                                                                                            ,FUNCTION               ,        37
COST                                                                                                                            ,INDEX                  ,       172
COST                                                                                                                            ,PACKAGE                ,         6
COST                                                                                                                            ,PACKAGE BODY           ,         6
COST                                                                                                                            ,PROCEDURE              ,       148
COST                                                                                                                            ,SEQUENCE               ,        11
COST                                                                                                                            ,SYNONYM                ,        84
COST                                                                                                                            ,TABLE                  ,      3372
COST                                                                                                                            ,VIEW                   ,        41
COSTING                                                                                                                         ,FUNCTION               ,        22
COSTING                                                                                                                         ,INDEX                  ,       196
COSTING                                                                                                                         ,PACKAGE                ,        52
COSTING                                                                                                                         ,PACKAGE BODY           ,        52
COSTING                                                                                                                         ,PROCEDURE              ,        89
COSTING                                                                                                                         ,SEQUENCE               ,        45
COSTING                                                                                                                         ,SYNONYM                ,         3
COSTING                                                                                                                         ,TABLE                  ,       348
COSTING                                                                                                                         ,TRIGGER                ,         2
COSTING                                                                                                                         ,VIEW                   ,        76
CRMSURVEY                                                                                                                       ,INDEX                  ,        22
CRMSURVEY                                                                                                                       ,LOB                    ,         5
CRMSURVEY                                                                                                                       ,TABLE                  ,        18
CRP                                                                                                                             ,INDEX                  ,        21
CRP                                                                                                                             ,PACKAGE                ,         2
CRP                                                                                                                             ,PACKAGE BODY           ,         2
CRP                                                                                                                             ,SEQUENCE               ,         3
CRP                                                                                                                             ,TABLE                  ,        11
CRP                                                                                                                             ,VIEW                   ,        11
CRP2                                                                                                                            ,SEQUENCE               ,         3
CRP3                                                                                                                            ,SEQUENCE               ,         3
CRP4                                                                                                                            ,SEQUENCE               ,         3
CRP5                                                                                                                            ,SEQUENCE               ,         3
CRP6                                                                                                                            ,SEQUENCE               ,         3
CS                                                                                                                              ,INDEX                  ,       624
CS                                                                                                                              ,LOB                    ,        16
CS                                                                                                                              ,PACKAGE                ,         2
CS                                                                                                                              ,PACKAGE BODY           ,         2
CS                                                                                                                              ,SEQUENCE               ,       200
CS                                                                                                                              ,SYNONYM                ,         6
CS                                                                                                                              ,TABLE                  ,       314
CS                                                                                                                              ,VIEW                   ,       287
CS2                                                                                                                             ,SEQUENCE               ,        56
CS3                                                                                                                             ,SEQUENCE               ,        56
CS4                                                                                                                             ,SEQUENCE               ,        56
CS5                                                                                                                             ,SEQUENCE               ,        56
CS6                                                                                                                             ,SEQUENCE               ,        56
CSC                                                                                                                             ,INDEX                  ,        56
CSC                                                                                                                             ,PACKAGE                ,         2
CSC                                                                                                                             ,PACKAGE BODY           ,         2
CSC                                                                                                                             ,SEQUENCE               ,        16
CSC                                                                                                                             ,TABLE                  ,        31
CSC                                                                                                                             ,VIEW                   ,        29
CSD                                                                                                                             ,INDEX                  ,       137
CSD                                                                                                                             ,LOB                    ,         1
CSD                                                                                                                             ,PACKAGE                ,         2
CSD                                                                                                                             ,PACKAGE BODY           ,         2
CSD                                                                                                                             ,SEQUENCE               ,        81
CSD                                                                                                                             ,TABLE                  ,       106
CSD                                                                                                                             ,VIEW                   ,       100
CSE                                                                                                                             ,PACKAGE                ,         2
CSE                                                                                                                             ,PACKAGE BODY           ,         2
CSF                                                                                                                             ,INDEX                  ,       284
CSF                                                                                                                             ,LOB                    ,       208
CSF                                                                                                                             ,PACKAGE                ,         2
CSF                                                                                                                             ,PACKAGE BODY           ,         2
CSF                                                                                                                             ,SEQUENCE               ,        87
CSF                                                                                                                             ,TABLE                  ,       295
CSF                                                                                                                             ,VIEW                   ,       292
CSI                                                                                                                             ,INDEX                  ,       299
CSI                                                                                                                             ,LOB                    ,         2
CSI                                                                                                                             ,PACKAGE                ,         2
CSI                                                                                                                             ,PACKAGE BODY           ,         2
CSI                                                                                                                             ,SEQUENCE               ,        75
CSI                                                                                                                             ,TABLE                  ,       102
CSI                                                                                                                             ,VIEW                   ,        98
CSL                                                                                                                             ,INDEX                  ,        86
CSL                                                                                                                             ,LOB                    ,         3
CSL                                                                                                                             ,PACKAGE                ,         2
CSL                                                                                                                             ,PACKAGE BODY           ,         2
CSL                                                                                                                             ,SEQUENCE               ,         1
CSL                                                                                                                             ,TABLE                  ,        64
CSL                                                                                                                             ,VIEW                   ,        64
CSM                                                                                                                             ,INDEX                  ,       467
CSM                                                                                                                             ,LOB                    ,        19
CSM                                                                                                                             ,PACKAGE                ,         2
CSM                                                                                                                             ,PACKAGE BODY           ,         2
CSM                                                                                                                             ,SEQUENCE               ,       110
CSM                                                                                                                             ,TABLE                  ,       243
CSM                                                                                                                             ,VIEW                   ,       243
CSP                                                                                                                             ,INDEX                  ,       179
CSP                                                                                                                             ,LOB                    ,         2
CSP                                                                                                                             ,PACKAGE                ,         2
CSP                                                                                                                             ,PACKAGE BODY           ,         2
CSP                                                                                                                             ,SEQUENCE               ,        50
CSP                                                                                                                             ,TABLE                  ,        69
CSP                                                                                                                             ,VIEW                   ,        63
CSR                                                                                                                             ,INDEX                  ,       179
CSR                                                                                                                             ,LOB                    ,       160
CSR                                                                                                                             ,PACKAGE                ,         2
CSR                                                                                                                             ,PACKAGE BODY           ,         2
CSR                                                                                                                             ,SEQUENCE               ,         5
CSR                                                                                                                             ,TABLE                  ,        15
CSR                                                                                                                             ,VIEW                   ,        10
CTXSYS                                                                                                                          ,FUNCTION               ,         2
CTXSYS                                                                                                                          ,INDEX                  ,        68
CTXSYS                                                                                                                          ,INDEXTYPE              ,         5
CTXSYS                                                                                                                          ,LIBRARY                ,         1
CTXSYS                                                                                                                          ,LOB                    ,         4
CTXSYS                                                                                                                          ,OPERATOR               ,         6
CTXSYS                                                                                                                          ,PACKAGE                ,        81
CTXSYS                                                                                                                          ,PACKAGE BODY           ,        70
CTXSYS                                                                                                                          ,PROCEDURE              ,         2
CTXSYS                                                                                                                          ,SEQUENCE               ,         3
CTXSYS                                                                                                                          ,TABLE                  ,        53
CTXSYS                                                                                                                          ,TYPE                   ,        22
CTXSYS                                                                                                                          ,TYPE BODY              ,         6
CTXSYS                                                                                                                          ,VIEW                   ,        81
CUA                                                                                                                             ,PACKAGE                ,         2
CUA                                                                                                                             ,PACKAGE BODY           ,         2
CUG                                                                                                                             ,INDEX                  ,        28
CUG                                                                                                                             ,PACKAGE                ,         2
CUG                                                                                                                             ,PACKAGE BODY           ,         2
CUG                                                                                                                             ,SEQUENCE               ,         7
CUG                                                                                                                             ,TABLE                  ,        13
CUG                                                                                                                             ,VIEW                   ,        13
CUSTOM                                                                                                                          ,PACKAGE                ,         2
CUSTOM                                                                                                                          ,PACKAGE BODY           ,         2
CZ                                                                                                                              ,INDEX                  ,       414
CZ                                                                                                                              ,LOB                    ,        11
CZ                                                                                                                              ,PACKAGE                ,         2
CZ                                                                                                                              ,PACKAGE BODY           ,         2
CZ                                                                                                                              ,SEQUENCE               ,        83
CZ                                                                                                                              ,TABLE                  ,       147
CZ                                                                                                                              ,VIEW                   ,       146
DBSFWUSER                                                                                                                       ,INDEX                  ,         3
DBSFWUSER                                                                                                                       ,PACKAGE                ,         1
DBSFWUSER                                                                                                                       ,PACKAGE BODY           ,         1
DBSFWUSER                                                                                                                       ,TABLE                  ,         3
DBSNMP                                                                                                                          ,INDEX                  ,        10
DBSNMP                                                                                                                          ,PACKAGE                ,         3
DBSNMP                                                                                                                          ,PACKAGE BODY           ,         3
DBSNMP                                                                                                                          ,PROCEDURE              ,         5
DBSNMP                                                                                                                          ,SEQUENCE               ,         2
DBSNMP                                                                                                                          ,SYNONYM                ,         1
DBSNMP                                                                                                                          ,TABLE                  ,        20
DBSNMP                                                                                                                          ,TYPE                   ,         8
DBSNMP                                                                                                                          ,VIEW                   ,         7
DDR                                                                                                                             ,INDEX                  ,       184
DDR                                                                                                                             ,PACKAGE                ,         2
DDR                                                                                                                             ,PACKAGE BODY           ,         2
DDR                                                                                                                             ,SEQUENCE               ,       123
DDR                                                                                                                             ,TABLE                  ,       297
DDR                                                                                                                             ,VIEW                   ,       248
DEV_BIPLATFORM                                                                                                                  ,FUNCTION               ,         2
DEV_BIPLATFORM                                                                                                                  ,INDEX                  ,       390
DEV_BIPLATFORM                                                                                                                  ,LOB                    ,       170
DEV_BIPLATFORM                                                                                                                  ,PACKAGE                ,         1
DEV_BIPLATFORM                                                                                                                  ,PROCEDURE              ,        35
DEV_BIPLATFORM                                                                                                                  ,SEQUENCE               ,        22
DEV_BIPLATFORM                                                                                                                  ,TABLE                  ,       152
DEV_BIPLATFORM                                                                                                                  ,TRIGGER                ,        15
DEV_BIPLATFORM                                                                                                                  ,VIEW                   ,         2
DEV_MDS                                                                                                                         ,INDEX                  ,        39
DEV_MDS                                                                                                                         ,LOB                    ,         3
DEV_MDS                                                                                                                         ,PACKAGE                ,         3
DEV_MDS                                                                                                                         ,PACKAGE BODY           ,         3
DEV_MDS                                                                                                                         ,SEQUENCE               ,         7
DEV_MDS                                                                                                                         ,TABLE                  ,        15
DEV_MDS                                                                                                                         ,TYPE                   ,         2
DISC1_DISCOVERER                                                                                                                ,INDEX                  ,       239
DISC1_DISCOVERER                                                                                                                ,LOB                    ,         3
DISC1_DISCOVERER                                                                                                                ,SEQUENCE               ,         9
DISC1_DISCOVERER                                                                                                                ,TABLE                  ,        55
DISC1_DISCOVERER                                                                                                                ,VIEW                   ,         3
DISC1_DISCOVERER_PS                                                                                                             ,INDEX                  ,        25
DISC1_DISCOVERER_PS                                                                                                             ,LOB                    ,         2
DISC1_DISCOVERER_PS                                                                                                             ,PACKAGE                ,         8
DISC1_DISCOVERER_PS                                                                                                             ,PACKAGE BODY           ,         8
DISC1_DISCOVERER_PS                                                                                                             ,PROCEDURE              ,         1
DISC1_DISCOVERER_PS                                                                                                             ,SEQUENCE               ,        11
DISC1_DISCOVERER_PS                                                                                                             ,TABLE                  ,        18
DISC1_DISCOVERER_PS                                                                                                             ,TYPE                   ,        20
DISC1_DISCOVERER_PS                                                                                                             ,VIEW                   ,        10
DISC_USER                                                                                                                       ,SYNONYM                ,        95
DNA                                                                                                                             ,PACKAGE                ,         2
DNA                                                                                                                             ,PACKAGE BODY           ,         2
DOM                                                                                                                             ,INDEX                  ,         7
DOM                                                                                                                             ,PACKAGE                ,         2
DOM                                                                                                                             ,PACKAGE BODY           ,         2
DOM                                                                                                                             ,SEQUENCE               ,         8
DOM                                                                                                                             ,TABLE                  ,         8
DOM                                                                                                                             ,VIEW                   ,         8
DPP                                                                                                                             ,INDEX                  ,        46
DPP                                                                                                                             ,LOB                    ,         4
DPP                                                                                                                             ,PACKAGE                ,         2
DPP                                                                                                                             ,PACKAGE BODY           ,         2
DPP                                                                                                                             ,SEQUENCE               ,        16
DPP                                                                                                                             ,TABLE                  ,        23
DPP                                                                                                                             ,VIEW                   ,        20
DVF                                                                                                                             ,FUNCTION               ,        20
DVF                                                                                                                             ,PACKAGE                ,         1
DVF                                                                                                                             ,PACKAGE BODY           ,         1
DVSYS                                                                                                                           ,FUNCTION               ,        33
DVSYS                                                                                                                           ,INDEX                  ,        78
DVSYS                                                                                                                           ,LIBRARY                ,         5
DVSYS                                                                                                                           ,LOB                    ,         1
DVSYS                                                                                                                           ,PACKAGE                ,        11
DVSYS                                                                                                                           ,PACKAGE BODY           ,        11
DVSYS                                                                                                                           ,PROCEDURE              ,         3
DVSYS                                                                                                                           ,SEQUENCE               ,        22
DVSYS                                                                                                                           ,SYNONYM                ,         2
DVSYS                                                                                                                           ,TABLE                  ,        44
DVSYS                                                                                                                           ,TYPE                   ,        75
DVSYS                                                                                                                           ,VIEW                   ,       120
EAM                                                                                                                             ,INDEX                  ,       134
EAM                                                                                                                             ,LOB                    ,         8
EAM                                                                                                                             ,PACKAGE                ,         2
EAM                                                                                                                             ,PACKAGE BODY           ,         2
EAM                                                                                                                             ,SEQUENCE               ,        64
EAM                                                                                                                             ,TABLE                  ,       131
EAM                                                                                                                             ,VIEW                   ,       106
EC                                                                                                                              ,INDEX                  ,        90
EC                                                                                                                              ,PACKAGE                ,         2
EC                                                                                                                              ,PACKAGE BODY           ,         2
EC                                                                                                                              ,SEQUENCE               ,        58
EC                                                                                                                              ,TABLE                  ,        83
EC                                                                                                                              ,VIEW                   ,        83
EC2                                                                                                                             ,SEQUENCE               ,        41
EC3                                                                                                                             ,SEQUENCE               ,        41
EC4                                                                                                                             ,SEQUENCE               ,        41
EC5                                                                                                                             ,SEQUENCE               ,        41
EC6                                                                                                                             ,SEQUENCE               ,        41
ECX                                                                                                                             ,INDEX                  ,        72
ECX                                                                                                                             ,LOB                    ,         3
ECX                                                                                                                             ,PACKAGE                ,         2
ECX                                                                                                                             ,PACKAGE BODY           ,         2
ECX                                                                                                                             ,SEQUENCE               ,        22
ECX                                                                                                                             ,TABLE                  ,        35
ECX                                                                                                                             ,VIEW                   ,        35
EDR                                                                                                                             ,INDEX                  ,        62
EDR                                                                                                                             ,LOB                    ,        15
EDR                                                                                                                             ,PACKAGE                ,         2
EDR                                                                                                                             ,PACKAGE BODY           ,         2
EDR                                                                                                                             ,SEQUENCE               ,        22
EDR                                                                                                                             ,TABLE                  ,        35
EDR                                                                                                                             ,VIEW                   ,        33
EGO                                                                                                                             ,INDEX                  ,       259
EGO                                                                                                                             ,INDEX PARTITION        ,       210
EGO                                                                                                                             ,INDEX SUBPARTITION     ,      1242
EGO                                                                                                                             ,LOB                    ,        15
EGO                                                                                                                             ,PACKAGE                ,         2
EGO                                                                                                                             ,PACKAGE BODY           ,         2
